Employer,JobTitle,Wage,City,State
"DELUXE DIGITAL DISTRIBUTION, INC.","BUSINESS DEVELOPMENT SPECIALIST",90000,BURBANK,CA
"UNIVISION DEPORTES, LLC","VP MARKETING AND PROMOTION",170000,MIAMI,FL
"KASPERSKY LAB, INC.","DIGITAL MARKETING PROGRAMS MANAGER",90900,WOBURN,MA
"BROCADE COMMUNICATIONS SYSTEMS, INC.","CORPORATE DEVELOPMENT MANAGER",130000.08,"SAN JOSE",CA
"LOWE'S COMPANIES, INC.","BRAND MANAGER",75333.64,MOORESVILLE,NC
"AAA NORTHERN CALIFORNIA, NEVADA &AMP; UTAH INSURAN","REGIONAL PROPERTY PRODUCT MANAGER",86600,"WALNUT CREEK",CA
"BANCO POPULAR NORTH AMERICA","PRODUCT MANAGER-CASH MANAGEMENT TREASURY(MARKETING",84600,ROSEMONT,IL
"MEDTRONIC, INC.","INTERNATIONAL MARKETING DIRECTOR",158450,NORTHRIDGE,CA
"ANM PHARMACY, INC.","MARKETING MANAGER",61318,"NEW PORT RICHEY",FL
"AVERY DENNISON CORPORATION","BUSINESS DEVELOPMENT AND M & A MANAGER",120175,MENTOR,OH
"CATERPILLAR INC","REVENUE ANALYST I",60000,"OAK CREEK",WI
"OLYMPUS LATIN AMERICA, INC.","MANAGER, MARKETING",99400,MIAMI,FL
"SILVER OVERSEAS, INC.","MARKETING MANAGER",41413,LAFAYETTE,LA
"NETAPP, INC.","PRODUCT MANAGER",113000,WALTHAM,MA
"CASTALIA LLC",MANAGER,115000,WASHINGTON,DC
"NEUROSKY, INC.","INTERNATIONAL MARKETING MANAGER, JAPANESE MARKET",107370,"SAN JOSE",CA
"AMAZON SERVICES LLC","PRODUCT MANAGER III",120000,SEATTLE,WA
"MOBILE IRON INC.","DIRECTOR OF BUSINESS DEVELOPMENT",188115,"MOUNTAIN VIEW",CA
"RELIABLE SOFTWARE RESOURCES, INC.","PROGRAMMER ANALYST",60000,MINNEAPOLIS,MN
"THE DANNON COMPANY, INC.","MANAGER PORTFOLIO STRATEGY AND PLANNING  OIKOS",90800,"WHITE PLAINS",NY
"JPMORGAN CHASE & CO.","SENIOR PRODUCT MANAGER",148000,"NEW YORK",NY
"HARRIS CORPORATION","PRODUCT MANAGER",155000,NORTHRIDGE,CA
"GETAROUND, INC.","DIRECTOR OF MARKETING",101608,"SAN FRANCISCO",CA
"WIRELESS GENERATION, INC.","PRODUCT MANAGER",110000,BROOKLYN,NY
